atribut,nilai,jumlah,persen
cell_size,big,5561,54.0
cell_size,small,4737,46.0
cell_shape,round,7966,77.35
cell_shape,irregular,2332,22.65
nucleus_shape,segmented-bilobed,3119,30.29
nucleus_shape,unsegmented-band,2614,25.38
nucleus_shape,unsegmented-indented,1342,13.03
nucleus_shape,segmented-multilobed,1284,12.47
nucleus_shape,unsegmented-round,1069,10.38
nucleus_shape,irregular,870,8.45
nuclear_cytoplasmic_ratio,low,9060,87.98
nuclear_cytoplasmic_ratio,high,1238,12.02
chromatin_density,densely,9369,90.98
chromatin_density,loosely,929,9.02
cytoplasm_vacuole,no,9509,92.34
cytoplasm_vacuole,yes,789,7.66
cytoplasm_texture,clear,8254,80.15
cytoplasm_texture,frosted,2044,19.85
cytoplasm_colour,light blue,7801,75.75
cytoplasm_colour,blue,1402,13.61
cytoplasm_colour,purple blue,1095,10.63
granule_type,small,3336,32.39
granule_type,round,3115,30.25
granule_type,nil,2631,25.55
granule_type,coarse,1216,11.81
granule_colour,pink,3245,31.51
granule_colour,red,3118,30.28
granule_colour,nil,2630,25.54
granule_colour,purple,1305,12.67
granularity,yes,7669,74.47
granularity,no,2629,25.53
