,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity
cell_size,1.0,0.20935728178111754,0.32877719245981346,0.37674193859298183,0.21117658600579342,0.22572957137072297,0.0,0.11765337674380086,0.2340021186446242,0.2294921684160911,0.08126241086036054
cell_shape,0.20935728178111754,1.0,0.2755483681537728,0.08730919675985235,0.28826074291841647,0.3879155368699471,0.28175006493444216,0.2836421559952756,0.3429880161045933,0.3428179730604647,0.31282667006071824
nucleus_shape,0.32877719245981346,0.2755483681537728,1.0,0.7797416967518145,0.5520018842914841,0.4055332804855649,0.7847400617026977,0.6352908217125031,0.688289601331635,0.6801016117779828,0.9194386660940069
nuclear_cytoplasmic_ratio,0.37674193859298183,0.08730919675985235,0.7797416967518147,1.0,0.05666597366186976,0.09531167405209008,0.4279442613697595,0.647179562790503,0.6233138000008376,0.6234883111535883,0.6234273511243557
chromatin_density,0.21117658600579342,0.28826074291841647,0.5520018842914841,0.05666597366186977,1.0,0.4667463644304978,0.48016033797514673,0.44506535538603725,0.4969452478228865,0.4970426699772269,0.49693190909453117
cytoplasm_vacuole,0.22572957137072297,0.3879155368699471,0.4055332804855649,0.09531167405209008,0.4667463644304978,1.0,0.37415952967082794,0.329799545867779,0.379905771547287,0.37987758099871705,0.3759001197541655
cytoplasm_texture,0.0,0.28175006493444216,0.7847400617026977,0.4279442613697595,0.48016033797514673,0.37415952967082794,1.0,0.8437796610228689,0.849364145888544,0.8495810938210702,0.8496332224877704
cytoplasm_colour,0.11765337674380086,0.2836421559952756,0.6352908217125031,0.647179562790503,0.4450653553860372,0.329799545867779,0.8437796610228689,1.0,0.6780070068680789,0.6781827433497207,0.959486356928419
granule_type,0.2340021186446242,0.3429880161045933,0.688289601331635,0.6233138000008376,0.4969452478228865,0.379905771547287,0.849364145888544,0.6780070068680789,1.0,0.9836533085738343,0.9993922610654413
granule_colour,0.22949216841609107,0.3428179730604647,0.6801016117779828,0.6234883111535883,0.49704266997722696,0.37987758099871705,0.8495810938210702,0.6781827433497207,0.9836533085738343,1.0,0.9996475011533279
granularity,0.08126241086036054,0.31282667006071824,0.9194386660940069,0.6234273511243557,0.49693190909453117,0.3759001197541655,0.8496332224877704,0.9594863569284191,0.9993922610654413,0.9996475011533278,1.0
