img_name,prefix,kelompok,label,nucleus_shape,split,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,piks_lubang,komponen_mentah,tau,rho
BNE_7323_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,20.223748,10.000000,0.494468,2,normal,5267,0,1,4,0.5
BNE_7938_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,41.231056,,1.000000,1,tak_pernah_pecah,8525,476,1,4,0.5
BNE_8741_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.455844,18.973666,0.745356,2,normal,7352,0,1,4,0.5
BNE_9071_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,40.607881,,1.000000,1,tak_pernah_pecah,6983,273,1,4,0.5
BNE_9373_ccrop.jpg,BNE,E_lainnya,Neutrophil,unsegmented-round,train,32.015621,,1.000000,1,tak_pernah_pecah,5250,0,1,4,0.5
BNE_9763_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.194827,13.453624,0.580027,2,normal,6009,0,1,4,0.5
BNE_12387_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,21.633308,12.727922,0.588348,2,normal,5274,0,1,4,0.5
BNE_12405_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,22.000000,13.000000,0.590909,2,normal,6077,0,1,4,0.5
BNE_14932_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,22.360680,10.630146,0.475395,2,normal,5139,0,1,4,0.5
BNE_16131_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.537205,9.848858,0.418438,2,normal,5365,0,1,4,0.5
BNE_17008_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,37.121422,,1.000000,1,tak_pernah_pecah,6396,190,1,4,0.5
BNE_21130_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,21.400935,8.944272,0.417938,2,normal,6375,0,1,4,0.5
BNE_24354_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.612497,13.892444,0.542409,2,normal,6750,0,1,4,0.5
BNE_25765_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,25.059928,14.142136,0.564333,2,normal,5298,0,1,4,0.5
BNE_27915_ccrop.jpg,BNE,A_sepakat_band,Neutrophil,unsegmented-band,train,23.323808,5.000000,0.214373,2,normal,5050,0,1,4,0.5
EO_7922_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,unsegmented-band,train,24.000000,9.000000,0.375000,3,normal,6526,0,1,4,0.5
EO_8539_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,unsegmented-band,train,19.924859,5.830952,0.292647,2,normal,4475,0,1,4,0.5
EO_8635_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-multilobed,train,20.518285,2.236068,0.108979,3,normal,5233,0,1,4,0.5
EO_8741_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,25.455844,2.236068,0.087841,2,normal,8000,0,1,4,0.5
EO_9228_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,32.649655,,1.000000,1,tak_pernah_pecah,7275,229,1,4,0.5
EO_9265_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,28.600699,4.472136,0.156365,2,normal,6788,0,1,4,0.5
EO_10150_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,26.627054,2.236068,0.083977,2,normal,6598,0,1,4,0.5
EO_12586_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,23.000000,2.000000,0.086957,2,normal,6647,0,1,4,0.5
EO_14468_ccrop.jpg,EO,Z_non_neutrofil,Eosinophil,segmented-bilobed,train,25.806976,7.810250,0.302641,2,normal,4744,0,1,4,0.5
BA_21413_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,27.459060,12.000000,0.437014,2,normal,6725,0,1,4,0.5
BA_22197_ccrop.jpg,BA,Z_non_neutrofil,Basophil,segmented-bilobed,train,32.249031,,1.000000,1,tak_pernah_pecah,7030,91,1,4,0.5
BA_24720_ccrop.jpg,BA,Z_non_neutrofil,Basophil,segmented-multilobed,train,23.086793,0.000000,0.000000,3,terpisah_di_nol,6232,0,3,4,0.5
BA_25245_ccrop.jpg,BA,Z_non_neutrofil,Basophil,segmented-bilobed,train,26.248809,12.165525,0.463470,2,normal,6258,0,1,4,0.5
BA_25610_ccrop.jpg,BA,Z_non_neutrofil,Basophil,unsegmented-indented,train,29.427878,,1.000000,1,tak_pernah_pecah,6086,0,1,4,0.5
BA_26315_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,35.608988,,1.000000,1,tak_pernah_pecah,6431,0,1,4,0.5
BA_30267_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,23.769729,12.000000,0.504844,2,normal,6250,85,1,4,0.5
BA_31317_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,27.586228,,1.000000,1,tak_pernah_pecah,6505,0,2,4,0.5
BA_32490_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,36.235342,,1.000000,1,tak_pernah_pecah,7123,251,1,4,0.5
BA_32675_ccrop.jpg,BA,Z_non_neutrofil,Basophil,unsegmented-band,train,29.410882,19.313208,0.656669,2,normal,7319,0,1,4,0.5
BA_32996_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,38.832976,,1.000000,1,tak_pernah_pecah,7227,0,1,4,0.5
BA_34424_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,23.345235,,1.000000,1,tak_pernah_pecah,5279,0,1,4,0.5
BA_35708_ccrop.jpg,BA,Z_non_neutrofil,Basophil,irregular,train,30.610456,11.401754,0.372479,2,normal,8339,0,1,4,0.5
LY_47940_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-indented,train,34.713110,,1.000000,1,tak_pernah_pecah,5726,0,1,4,0.5
LY_48852_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-indented,train,39.924930,,1.000000,1,tak_pernah_pecah,6977,0,1,4,0.5
LY_51513_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,39.849718,,1.000000,1,tak_pernah_pecah,5970,0,1,4,0.5
LY_51625_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,38.327536,,1.000000,1,tak_pernah_pecah,5442,0,1,4,0.5
LY_51843_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,38.013156,,1.000000,1,tak_pernah_pecah,5320,0,1,4,0.5
LY_56612_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,41.773197,,1.000000,1,tak_pernah_pecah,6517,0,1,4,0.5
LY_57780_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,33.015148,,1.000000,1,tak_pernah_pecah,4647,0,1,4,0.5
LY_59662_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,40.853396,,1.000000,1,tak_pernah_pecah,5933,0,1,4,0.5
LY_60053_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-indented,train,37.363083,,1.000000,1,tak_pernah_pecah,7312,0,1,4,0.5
LY_63391_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,37.735925,,1.000000,1,tak_pernah_pecah,5562,0,1,4,0.5
LY_64218_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,40.792156,,1.000000,1,tak_pernah_pecah,6559,0,1,4,0.5
LY_64434_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,38.183766,,1.000000,1,tak_pernah_pecah,6342,0,1,4,0.5
LY_64544_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,38.013156,,1.000000,1,tak_pernah_pecah,5442,0,1,4,0.5
LY_65073_ccrop.jpg,LY,Z_non_neutrofil,Lymphocyte,unsegmented-round,train,42.720019,,1.000000,1,tak_pernah_pecah,6567,0,1,4,0.5
