tau,rho,ambang_youden,auc,akurasi_1_3
0.1,0.0,0.3588,0.8873,0.8842
0.1,0.1,0.3588,0.8875,0.8846
0.1,0.2,0.3588,0.8894,0.8878
0.1,0.3,0.3588,0.8933,0.8913
0.1,0.4,0.3588,0.8945,0.8929
0.1,0.5,0.3588,0.8915,0.8937
0.25,0.0,0.3588,0.8845,0.8866
0.25,0.1,0.3588,0.8852,0.8870
0.25,0.2,0.3588,0.8856,0.8882
0.25,0.3,0.3588,0.8894,0.8913
0.25,0.4,0.3588,0.8915,0.8929
0.25,0.5,0.3588,0.8894,0.8937
0.5,0.0,0.3588,0.8803,0.8870
0.5,0.1,0.3588,0.8810,0.8874
0.5,0.2,0.3588,0.8825,0.8890
0.5,0.3,0.3588,0.8860,0.8913
0.5,0.4,0.3588,0.8885,0.8929
0.5,0.5,0.3588,0.8877,0.8937
0.75,0.0,0.3588,0.8807,0.8878
0.75,0.1,0.3588,0.8805,0.8874
0.75,0.2,0.3588,0.8818,0.8890
0.75,0.3,0.3588,0.8854,0.8913
0.75,0.4,0.3588,0.8878,0.8929
0.75,0.5,0.3588,0.8871,0.8937
1.0,0.0,0.3588,0.8800,0.8886
1.0,0.1,0.3588,0.8800,0.8886
1.0,0.2,0.3588,0.8804,0.8890
1.0,0.3,0.3588,0.8838,0.8910
1.0,0.4,0.3588,0.8862,0.8929
1.0,0.5,0.3588,0.8856,0.8937
1.5,0.0,0.3588,0.8793,0.8886
1.5,0.1,0.3588,0.8793,0.8886
1.5,0.2,0.3588,0.8792,0.8886
1.5,0.3,0.3588,0.8826,0.8910
1.5,0.4,0.3588,0.8851,0.8929
1.5,0.5,0.3588,0.8843,0.8937
2.0,0.0,0.3588,0.8780,0.8886
2.0,0.1,0.3588,0.8780,0.8886
2.0,0.2,0.3588,0.8780,0.8886
2.0,0.3,0.3588,0.8813,0.8910
2.0,0.4,0.3588,0.8838,0.8929
2.0,0.5,0.3588,0.8830,0.8937
2.5,0.0,0.3588,0.8780,0.8890
2.5,0.1,0.3588,0.8780,0.8890
2.5,0.2,0.3588,0.8780,0.8890
2.5,0.3,0.3588,0.8811,0.8910
2.5,0.4,0.3588,0.8836,0.8929
2.5,0.5,0.3588,0.8828,0.8937
3.0,0.0,0.3588,0.8797,0.8894
3.0,0.1,0.3588,0.8797,0.8894
3.0,0.2,0.3588,0.8797,0.8894
3.0,0.3,0.3588,0.8825,0.8913
3.0,0.4,0.3588,0.8847,0.8929
3.0,0.5,0.3588,0.8840,0.8937
4.0,0.0,0.3588,0.8792,0.8898
4.0,0.1,0.3588,0.8792,0.8898
4.0,0.2,0.3588,0.8792,0.8898
4.0,0.3,0.3588,0.8820,0.8917
4.0,0.4,0.3588,0.8843,0.8933
4.0,0.5,0.3588,0.8837,0.8937
