tau,rho,skor_lobus,limfosit_tak_pecah,mean_round,mean_bilobed,mean_multilobed
0.1,0.0,0.3255,0.6046,1.968,6.430,7.430
0.1,0.1,0.3281,0.6054,1.965,6.320,7.252
0.1,0.2,0.3311,0.6054,1.960,6.161,7.062
0.1,0.3,0.3353,0.6063,1.947,6.064,6.964
0.1,0.4,0.3401,0.6079,1.917,5.909,6.745
0.1,0.5,0.3464,0.6145,1.881,5.723,6.423
0.25,0.0,0.4423,0.7941,1.363,4.126,5.073
0.25,0.1,0.4468,0.7949,1.361,4.060,4.943
0.25,0.2,0.4524,0.7949,1.358,3.960,4.835
0.25,0.3,0.4590,0.7957,1.347,3.890,4.768
0.25,0.4,0.4662,0.7982,1.327,3.790,4.629
0.25,0.5,0.4719,0.8064,1.300,3.686,4.415
0.5,0.0,0.6119,0.9465,1.093,2.742,3.688
0.5,0.1,0.6201,0.9473,1.091,2.695,3.605
0.5,0.2,0.6323,0.9473,1.089,2.621,3.521
0.5,0.3,0.6405,0.9489,1.081,2.588,3.491
0.5,0.4,0.6506,0.9514,1.070,2.541,3.425
0.5,0.5,0.6588,0.9596,1.049,2.486,3.297
0.75,0.0,0.6616,0.9613,1.075,2.525,3.408
0.75,0.1,0.6649,0.9613,1.073,2.514,3.384
0.75,0.2,0.6742,0.9613,1.072,2.475,3.339
0.75,0.3,0.6820,0.9629,1.064,2.447,3.315
0.75,0.4,0.6932,0.9654,1.055,2.407,3.262
0.75,0.5,0.7007,0.9736,1.034,2.359,3.142
1.0,0.0,0.6907,0.9629,1.072,2.419,3.277
1.0,0.1,0.6930,0.9629,1.070,2.413,3.262
1.0,0.2,0.6980,0.9629,1.068,2.393,3.238
1.0,0.3,0.7052,0.9646,1.060,2.368,3.218
1.0,0.4,0.7169,0.9671,1.051,2.331,3.172
1.0,0.5,0.7247,0.9753,1.030,2.286,3.059
1.5,0.0,0.7211,0.9662,1.061,2.310,3.136
1.5,0.1,0.7221,0.9662,1.061,2.308,3.135
1.5,0.2,0.7252,0.9662,1.059,2.298,3.123
1.5,0.3,0.7320,0.9679,1.052,2.276,3.103
1.5,0.4,0.7423,0.9703,1.043,2.245,3.064
1.5,0.5,0.7497,0.9786,1.024,2.206,2.963
2.0,0.0,0.7479,0.9679,1.057,2.236,3.053
2.0,0.1,0.7486,0.9679,1.057,2.235,3.052
2.0,0.2,0.7512,0.9679,1.056,2.226,3.041
2.0,0.3,0.7578,0.9695,1.049,2.208,3.025
2.0,0.4,0.7659,0.9720,1.040,2.183,2.991
2.0,0.5,0.7709,0.9802,1.023,2.150,2.899
2.5,0.0,0.7655,0.9679,1.055,2.180,2.983
2.5,0.1,0.7659,0.9679,1.055,2.180,2.983
2.5,0.2,0.7678,0.9679,1.054,2.173,2.979
2.5,0.3,0.7737,0.9695,1.047,2.158,2.964
2.5,0.4,0.7817,0.9720,1.039,2.136,2.934
2.5,0.5,0.7859,0.9802,1.022,2.107,2.845
3.0,0.0,0.7777,0.9679,1.052,2.136,2.914
3.0,0.1,0.7781,0.9679,1.052,2.136,2.914
3.0,0.2,0.7791,0.9679,1.051,2.131,2.909
3.0,0.3,0.7842,0.9695,1.045,2.118,2.896
3.0,0.4,0.7908,0.9720,1.037,2.099,2.865
3.0,0.5,0.7934,0.9802,1.021,2.075,2.782
4.0,0.0,0.7938,0.9687,1.048,2.071,2.806
4.0,0.1,0.7939,0.9687,1.048,2.071,2.806
4.0,0.2,0.7948,0.9687,1.047,2.068,2.802
4.0,0.3,0.7978,0.9703,1.041,2.062,2.790
4.0,0.4,0.8020,0.9728,1.034,2.049,2.763
4.0,0.5,0.8030,0.9811,1.020,2.030,2.687
