img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,komponen_mentah,komponen_akhir,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,pred_band
SNE_10429_ccrop.jpg,Neutrophil,big,irregular,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_10429_ccrop.jpg,train,SNE,B_sepakat_segmented,23.08679276123039,7.8102498054504395,0.3382994721798767,4,normal,5618,1,1,2,0.75,0.2,3.0,0.4,True
SNE_106989_ccrop.jpg,Neutrophil,big,irregular,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_106989_ccrop.jpg,train,SNE,B_sepakat_segmented,25.059928172283335,16.6433162689209,0.6641406214136185,3,normal,6471,1,1,2,0.75,0.2,3.0,0.4,True
SNE_110435_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_110435_ccrop.jpg,train,SNE,B_sepakat_segmented,19.4164878389476,7.0,0.3605183418372233,4,normal,5180,1,1,2,0.75,0.2,3.0,0.4,True
SNE_115658_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_115658_ccrop.jpg,train,SNE,B_sepakat_segmented,27.0,11.0,0.4074074074074074,2,normal,5703,1,1,2,0.75,0.2,3.0,0.4,True
SNE_146353_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_146353_ccrop.jpg,train,SNE,B_sepakat_segmented,20.591260281974,9.219544410705566,0.44774065717466255,3,normal,5290,1,1,3,0.75,0.2,3.0,0.4,True
SNE_157991_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_157991_ccrop.jpg,train,SNE,B_sepakat_segmented,27.459060435491963,18.0,0.6555213366563067,2,normal,6535,1,1,2,0.75,0.2,3.0,0.4,True
SNE_158445_ccrop.jpg,Neutrophil,small,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_158445_ccrop.jpg,train,SNE,B_sepakat_segmented,28.071337695236398,10.29563045501709,0.3667666488428238,3,normal,5365,1,1,3,0.75,0.2,3.0,0.4,True
SNE_15997_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_15997_ccrop.jpg,train,SNE,B_sepakat_segmented,17.46424919657298,8.485280990600586,0.4858657761403026,6,normal,5466,1,1,2,0.75,0.2,3.0,0.4,True
SNE_168952_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_168952_ccrop.jpg,train,SNE,B_sepakat_segmented,20.396078054371138,7.071067810058594,0.34668762255217855,4,normal,6528,1,1,3,0.75,0.2,3.0,0.4,True
SNE_174973_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_174973_ccrop.jpg,train,SNE,B_sepakat_segmented,24.0,11.401754379272461,0.47507309913635254,3,normal,5543,1,1,3,0.75,0.2,3.0,0.4,True
SNE_194857_ccrop.jpg,Neutrophil,small,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_194857_ccrop.jpg,train,SNE,B_sepakat_segmented,17.0,9.05538558959961,0.5326697405646829,4,normal,4787,1,1,3,0.75,0.2,3.0,0.4,True
SNE_209080_ccrop.jpg,Neutrophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_209080_ccrop.jpg,train,SNE,B_sepakat_segmented,26.68332812825267,16.492422103881836,0.6180796497577615,2,normal,4607,1,1,2,0.75,0.2,3.0,0.4,True
SNE_219641_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_219641_ccrop.jpg,train,SNE,B_sepakat_segmented,27.294688127912362,21.931713104248047,0.8035157977064418,2,normal,6139,1,1,2,0.75,0.2,3.0,0.4,True
SNE_226032_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_226032_ccrop.jpg,train,SNE,B_sepakat_segmented,28.178005607210743,17.464248657226562,0.6197829931852049,2,normal,5814,1,1,1,0.75,0.2,3.0,0.4,True
SNE_22896_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_22896_ccrop.jpg,train,SNE,B_sepakat_segmented,29.154759474226502,12.041594505310059,0.4130232841040967,2,normal,6541,1,1,2,0.75,0.2,3.0,0.4,True
SNE_235653_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_235653_ccrop.jpg,train,SNE,B_sepakat_segmented,21.0,7.8102498054504395,0.3719166574024019,5,normal,6044,1,1,3,0.75,0.2,3.0,0.4,True
SNE_238919_ccrop.jpg,Neutrophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_238919_ccrop.jpg,train,SNE,B_sepakat_segmented,32.7566787083184,,1.0,1,tak_pernah_pecah,5416,1,1,1,0.75,0.2,3.0,0.4,True
SNE_246181_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_246181_ccrop.jpg,train,SNE,B_sepakat_segmented,29.966648127543394,12.649110794067383,0.42210629431194685,2,normal,6508,2,1,2,0.75,0.2,3.0,0.4,True
SNE_247632_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_247632_ccrop.jpg,train,SNE,B_sepakat_segmented,31.575306807693888,17.262676239013672,0.5467144418944272,2,normal,6654,1,1,2,0.75,0.2,3.0,0.4,True
SNE_248746_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_248746_ccrop.jpg,train,SNE,B_sepakat_segmented,19.924858845171276,7.0,0.35131992925994693,4,normal,5451,1,1,2,0.75,0.2,3.0,0.4,True
SNE_251641_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_251641_ccrop.jpg,train,SNE,B_sepakat_segmented,25.0,13.601470947265625,0.544058837890625,3,normal,6250,1,1,2,0.75,0.2,3.0,0.4,True
SNE_255562_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_255562_ccrop.jpg,train,SNE,B_sepakat_segmented,33.24154027718932,12.806248664855957,0.3852483536583813,2,normal,6407,1,1,2,0.75,0.2,3.0,0.4,True
SNE_273219_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_273219_ccrop.jpg,train,SNE,B_sepakat_segmented,27.294688127912362,12.529964447021484,0.459062378302391,2,normal,5087,1,1,1,0.75,0.2,3.0,0.4,True
SNE_280533_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_280533_ccrop.jpg,train,SNE,B_sepakat_segmented,26.30589287593181,12.649110794067383,0.4808470426655048,3,normal,5569,1,1,2,0.75,0.2,3.0,0.4,True
SNE_319081_ccrop.jpg,Neutrophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_319081_ccrop.jpg,train,SNE,B_sepakat_segmented,25.495097567963924,11.180339813232422,0.4385290067405418,2,normal,5272,1,1,2,0.75,0.2,3.0,0.4,True
SNE_329838_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_329838_ccrop.jpg,train,SNE,B_sepakat_segmented,26.076809620810597,11.401754379272461,0.43723732101695795,2,normal,5283,1,1,2,0.75,0.2,3.0,0.4,True
SNE_330213_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_330213_ccrop.jpg,train,SNE,B_sepakat_segmented,23.323807579381203,17.464248657226562,0.7487734838228288,4,normal,5813,1,1,1,0.75,0.2,3.0,0.4,True
SNE_334919_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,yes,clear,light blue,small,pink,yes,SNE_334919_ccrop.jpg,train,SNE,B_sepakat_segmented,23.345235059857504,13.34166431427002,0.5714941091859563,4,normal,5379,1,1,2,0.75,0.2,3.0,0.4,True
SNE_339035_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_339035_ccrop.jpg,train,SNE,B_sepakat_segmented,39.81205847478876,,1.0,1,tak_pernah_pecah,8206,1,1,1,0.75,0.2,3.0,0.4,True
