img_name,label,cell_size,cell_shape,nucleus_shape,nuclear_cytoplasmic_ratio,chromatin_density,cytoplasm_vacuole,cytoplasm_texture,cytoplasm_colour,granule_type,granule_colour,granularity,path,split,prefix,kelompok,r_lobus,r_pisah,bridge_ratio,n_lobus,status_topologi,luas_nukleus,jarak_saddle_ke_lubang,n_lobus_kal,tau_br,rho_br,tau_lobus,rho_lobus,aturan_lubang,pred_band
SNE_10429_ccrop.jpg,Neutrophil,big,irregular,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_10429_ccrop.jpg,train,SNE,B_sepakat_segmented,20.518284528683193,7.8102498054504395,0.3806482844378258,4,normal,5561,999.0,3,1.25,0.2,4.0,0.4,tidak,True
SNE_110435_ccrop.jpg,Neutrophil,big,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_110435_ccrop.jpg,train,SNE,B_sepakat_segmented,19.4164878389476,7.0,0.3605183418372233,4,normal,5180,999.0,2,1.25,0.2,4.0,0.4,tidak,True
SNE_146353_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_146353_ccrop.jpg,train,SNE,B_sepakat_segmented,20.591260281974,9.219544410705566,0.44774065717466255,3,normal,5290,999.0,3,1.25,0.2,4.0,0.4,tidak,True
SNE_157991_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_157991_ccrop.jpg,train,SNE,B_sepakat_segmented,27.459060435491963,18.0,0.6555213366563067,2,normal,6535,999.0,2,1.25,0.2,4.0,0.4,tidak,True
SNE_158445_ccrop.jpg,Neutrophil,small,round,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_158445_ccrop.jpg,train,SNE,B_sepakat_segmented,19.235384061671343,10.29563045501709,0.5352443404305239,4,normal,5326,999.0,3,1.25,0.2,4.0,0.4,tidak,True
SNE_194857_ccrop.jpg,Neutrophil,small,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_194857_ccrop.jpg,train,SNE,B_sepakat_segmented,17.0,9.05538558959961,0.5326697405646829,4,normal,4787,999.0,2,1.25,0.2,4.0,0.4,tidak,True
SNE_206630_ccrop.jpg,Neutrophil,big,irregular,segmented-multilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_206630_ccrop.jpg,train,SNE,B_sepakat_segmented,18.681541692269406,9.0,0.4817589548149703,5,normal,6403,999.0,3,1.25,0.2,4.0,0.4,tidak,True
SNE_209080_ccrop.jpg,Neutrophil,small,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_209080_ccrop.jpg,train,SNE,B_sepakat_segmented,22.847319317591726,10.770329475402832,0.47140451471302425,2,normal,4544,999.0,2,1.25,0.2,4.0,0.4,tidak,True
SNE_219641_ccrop.jpg,Neutrophil,big,irregular,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_219641_ccrop.jpg,train,SNE,B_sepakat_segmented,23.08679276123039,7.8102498054504395,0.3382994721798767,3,normal,5957,999.0,2,1.25,0.2,4.0,0.4,tidak,True
SNE_226032_ccrop.jpg,Neutrophil,big,round,segmented-bilobed,low,densely,no,clear,light blue,small,pink,yes,SNE_226032_ccrop.jpg,train,SNE,B_sepakat_segmented,28.178005607210743,17.464248657226562,0.6197829931852049,2,normal,5814,999.0,1,1.25,0.2,4.0,0.4,tidak,True
