desil,n,akurasi,galat,keyakinan_min,keyakinan_maks,br_med
1,254,0.9881889763779528,3,0.3768148062556585,0.6666666666666667,0.7745068620525333
2,253,0.9644268774703557,9,0.317915089201762,0.3767717796205214,0.6679674784342448
3,253,0.9920948616600791,2,0.27517553282822277,0.3177735283579773,0.6201736727875683
4,253,0.9762845849802372,6,0.2445582972735239,0.2749127105494611,0.5785419290715997
5,253,0.9723320158102767,7,0.22136688002712562,0.24453779380799884,0.1087856567822969
6,253,0.9565217391304348,11,0.19115971123327696,0.22136686439776326,0.5263546146162954
7,253,0.9644268774703557,9,0.1598729801662077,0.1909809032750182,0.4995410562989139
8,253,0.9130434782608695,22,0.12262741925421988,0.1598729801662077,0.4659111095208414
9,253,0.932806324110672,17,0.0757575757575758,0.1225437978981897,0.4190702004866166
10,253,0.6679841897233202,84,3.0171642406706667e-09,0.074490367797511,0.343592123437219
