grup,atribut,nilai_modus,frak_yakin_salah,frak_benar,selisih
A yakin-salah,cell_shape,round,0.7619047619047619,0.8568561872909699,-0.09495142538620804
A yakin-salah,chromatin_density,densely,0.9047619047619048,0.9812709030100334,-0.07650899824812862
A yakin-salah,granule_type,small,0.9523809523809523,0.9973244147157191,-0.04494346233476676
B yakin-salah,cell_size,big,0.7407407407407407,0.7840646651270208,-0.04332392438628008
B yakin-salah,cell_shape,round,0.6296296296296297,0.6605080831408776,-0.03087845351124796
A yakin-salah,cell_size,small,0.5714285714285714,0.5538461538461539,0.01758241758241752
B yakin-salah,cytoplasm_vacuole,no,0.9629629629629629,0.9722863741339491,-0.009323411170986229
B yakin-salah,granule_colour,pink,1.0,0.9965357967667436,0.0034642032332563577
A yakin-salah,cytoplasm_vacuole,no,0.9523809523809523,0.9491638795986622,0.003217072782290109
A yakin-salah,granule_colour,pink,0.9523809523809523,0.9491638795986622,0.003217072782290109
A yakin-salah,granularity,yes,1.0,0.9986622073578595,0.0013377926421405117
A yakin-salah,cytoplasm_colour,light blue,1.0,0.9993311036789297,0.0006688963210702559
B yakin-salah,granularity,yes,1.0,1.0,0.0
B yakin-salah,granule_type,small,1.0,1.0,0.0
B yakin-salah,cytoplasm_colour,light blue,1.0,1.0,0.0
B yakin-salah,chromatin_density,densely,1.0,1.0,0.0
