desil,n,akurasi,galat,keyakinan_min,keyakinan_maks,br_med
1,10,0.0,10,0.6566666666666667,0.6566666666666667,0.99
2,10,1.0,0,0.2940074906367041,0.3233333333333333,0.024662921348314604
3,10,1.0,0,0.2614232209737828,0.290749063670412,0.05724719101123595
4,10,1.0,0,0.2288389513108614,0.25816479400749065,0.08983146067415729
5,10,1.0,0,0.19625468164794005,0.22558052434456927,0.12241573033707863
6,10,1.0,0,0.16367041198501872,0.19299625468164794,0.155
7,10,1.0,0,0.13108614232209737,0.16041198501872658,0.18758426966292133
8,10,1.0,0,0.09850187265917604,0.12782771535580523,0.22016853932584268
9,10,1.0,0,0.06591760299625471,0.0952434456928839,0.252752808988764
10,10,1.0,0,0.033333333333333326,0.06265917602996257,0.28533707865168534
