t,fpr_neg,tpr_sintetis,tpr_pos_nyata,neutrofil_terdeteksi,dari_terpisah0,terpilih
0.08235666934549585,0.009954058192955589,0.8790072388831437,0.95,25,19,True
0.1,0.005359877488514548,0.8479834539813857,0.95,24,19,False
0.15,0.0030627871362940277,0.7104446742502585,0.9,22,18,False
0.2,0.00038284839203675346,0.6070320579110652,0.9,19,18,False
0.25,0.00038284839203675346,0.47156153050672184,0.9,18,18,False
0.3,0.00038284839203675346,0.3733195449844881,0.8,18,18,False
0.35,0.0,0.2781799379524302,0.8,18,18,False
0.4,0.0,0.21199586349534644,0.8,18,18,False
0.45,0.0,0.15305067218200621,0.75,17,17,False
0.5,0.0,0.10754912099276112,0.75,17,17,False
0.55,0.0,0.07549120992761117,0.7,16,16,False
0.6,0.0,0.04963805584281282,0.65,16,16,False
