i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung
24,0.7943383195091523,2.5519167561355127,pbcseg_final_v1\LY_900304_ccrop_mask.png,pbcseg_final_v1\MO_326206_ccrop_mask.png,,True,0.18004241621662226,0.7201135017981352,0.5400710855815128,64.19501538281614,22528,terpisah_di_nol,0.0
25,0.9292441820892838,5.848727624345524,pbcseg_final_v1\LY_25363_ccrop_mask.png,pbcseg_final_v1\MO_23282_ccrop_mask.png,,True,0.44064509195823015,0.7961441376971966,0.3554990457389664,67.97793759742936,26330,terpisah_di_nol,0.0
26,0.7455273644667212,5.965164167079797,pbcseg_final_v1\LY_532750_ccrop_mask.png,pbcseg_final_v1\MO_959704_ccrop_mask.png,,True,0.04014134503991171,0.6912828999009615,0.6511415548610497,66.03786792439622,22281,terpisah_di_nol,0.0
27,0.8803564060633974,2.3863800924684084,pbcseg_final_v1\LY_98404_ccrop_mask.png,pbcseg_final_v1\LY_735620_ccrop_mask.png,,True,0.4642148703033914,0.8304014060826848,0.36618653577929333,52.172789842982326,17515,terpisah_di_nol,0.0
28,0.7176051175427454,3.1354578687780266,pbcseg_final_v1\LY_198818_ccrop_mask.png,pbcseg_final_v1\MO_189829_ccrop_mask.png,,True,0.0,0.0,0.0,65.5133574166368,24619,normal,0.18857036045412787
29,0.8610391150796817,4.99640849351356,pbcseg_final_v1\MO_906623_ccrop_mask.png,pbcseg_final_v1\LY_245917_ccrop_mask.png,,True,0.15985887798905632,0.721874953351245,0.5620160753621887,60.207972893961475,19247,terpisah_di_nol,0.0
30,0.8606535208557554,5.526571818905872,pbcseg_final_v1\MO_26771_ccrop_mask.png,pbcseg_final_v1\LY_649255_ccrop_mask.png,,True,0.3795418012476737,0.6812228361181565,0.3016810348704827,73.0,30874,normal,0.02591508580466721
31,0.8862798261559274,3.1544049918017456,pbcseg_final_v1\MO_545848_ccrop_mask.png,pbcseg_final_v1\MO_11595_ccrop_mask.png,,True,0.2800023097284627,0.7946172987991639,0.5146149890707012,74.24957912338628,34991,terpisah_di_nol,0.0
16,0.903959126559249,1.5542202951675264,pbcseg_final_v1\LY_452316_ccrop_mask.png,pbcseg_final_v1\LY_573984_ccrop_mask.png,,True,0.2817295990369456,0.8083189651328332,0.5265893660958876,53.71219600798314,21577,terpisah_di_nol,0.0
17,0.9224909741204567,6.0058164591197105,pbcseg_final_v1\LY_825441_ccrop_mask.png,pbcseg_final_v1\MO_887275_ccrop_mask.png,,True,0.24154735792526766,0.6129010265889447,0.3713536686636771,70.83784299369935,29702,terpisah_di_nol,0.0
18,0.7104882685458912,1.5007470020450433,pbcseg_final_v1\MO_248568_ccrop_mask.png,pbcseg_final_v1\MO_533874_ccrop_mask.png,,True,0.21945737919482297,0.9767272823133711,0.7572699031185481,68.6804193347711,32188,terpisah_di_nol,0.0
19,0.708124642170264,1.042307628644531,pbcseg_final_v1\LY_815826_ccrop_mask.png,pbcseg_final_v1\MO_389641_ccrop_mask.png,,True,0.057729956210004936,0.5950713556224384,0.5373413994124335,79.0,29121,terpisah_di_nol,0.0
20,0.8390601444003858,3.38343200806701,pbcseg_final_v1\LY_832775_ccrop_mask.png,pbcseg_final_v1\LY_619308_ccrop_mask.png,,True,0.20513111110269772,0.7265869712859663,0.5214558601832685,50.774009099144415,13479,normal,0.02626128657194451
21,0.7795881841614983,3.5604710573494613,pbcseg_final_v1\LY_948851_ccrop_mask.png,pbcseg_final_v1\MO_617871_ccrop_mask.png,,True,0.21784713542080797,0.6473475291753354,0.4295003937545275,65.19202405202648,29925,terpisah_di_nol,0.0
