i,fr,sudut,p1,p2,galat,nyambung,f_badan,puncak_rel_badan,saddle_rel_badan,r_sel,luas_sel,st_gabung,br_gabung,terdeteksi,iou_inti,br_ref,st_ref,br_kor,st_kor
16,0.903959126559249,1.5542202951675264,pbcseg_final_v1\LY_452316_ccrop_mask.png,pbcseg_final_v1\LY_573984_ccrop_mask.png,,True,0.2817295990369456,0.8083189651328332,0.5265893660958876,53.71219600798314,21577,terpisah_di_nol,0.0,True,0.9899794450154162,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
17,0.9224909741204567,6.0058164591197105,pbcseg_final_v1\LY_825441_ccrop_mask.png,pbcseg_final_v1\MO_887275_ccrop_mask.png,,True,0.24154735792526766,0.6129010265889447,0.3713536686636771,70.83784299369935,29702,terpisah_di_nol,0.0,True,0.9692595108695652,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
18,0.7104882685458912,1.5007470020450433,pbcseg_final_v1\MO_248568_ccrop_mask.png,pbcseg_final_v1\MO_533874_ccrop_mask.png,,True,0.21945737919482297,0.9767272823133711,0.7572699031185481,68.6804193347711,32188,terpisah_di_nol,0.0,True,0.9852232236428422,0.5637263686001371,normal,0.5637263686001371,normal
19,0.708124642170264,1.042307628644531,pbcseg_final_v1\LY_815826_ccrop_mask.png,pbcseg_final_v1\MO_389641_ccrop_mask.png,,True,0.057729956210004936,0.5950713556224384,0.5373413994124335,79.0,29121,terpisah_di_nol,0.0,False,0.36657427937915743,1.0,tak_pernah_pecah,0.0,terpisah_di_nol
20,0.8390601444003858,3.38343200806701,pbcseg_final_v1\LY_832775_ccrop_mask.png,pbcseg_final_v1\LY_619308_ccrop_mask.png,,True,0.20513111110269772,0.7265869712859663,0.5214558601832685,50.774009099144415,13479,normal,0.02626128657194451,True,0.9370491803278689,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
21,0.7795881841614983,3.5604710573494613,pbcseg_final_v1\LY_948851_ccrop_mask.png,pbcseg_final_v1\MO_617871_ccrop_mask.png,,True,0.21784713542080797,0.6473475291753354,0.4295003937545275,65.19202405202648,29925,terpisah_di_nol,0.0,True,0.9865653173059926,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
22,0.81067357762643,4.047421473948118,pbcseg_final_v1\LY_730192_ccrop_mask.png,pbcseg_final_v1\LY_926291_ccrop_mask.png,,True,0.13152229192595621,0.6864128850510555,0.5548905931250993,57.245087125446844,16214,normal,0.04925152335778521,True,0.8608445297504799,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
23,0.7103039495730282,5.66947668938591,pbcseg_final_v1\LY_370728_ccrop_mask.png,pbcseg_final_v1\LY_275148_ccrop_mask.png,,True,0.1834318805409329,0.9182578833604285,0.7348260028194955,51.0098029794274,15757,terpisah_di_nol,0.0,True,0.9900156896305805,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
24,0.7943383195091523,2.5519167561355127,pbcseg_final_v1\LY_900304_ccrop_mask.png,pbcseg_final_v1\MO_326206_ccrop_mask.png,,True,0.18004241621662226,0.7201135017981352,0.5400710855815128,64.19501538281614,22528,terpisah_di_nol,0.0,True,0.9285128709624528,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
25,0.9292441820892838,5.848727624345524,pbcseg_final_v1\LY_25363_ccrop_mask.png,pbcseg_final_v1\MO_23282_ccrop_mask.png,,True,0.44064509195823015,0.7961441376971966,0.3554990457389664,67.97793759742936,26330,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
26,0.7455273644667212,5.965164167079797,pbcseg_final_v1\LY_532750_ccrop_mask.png,pbcseg_final_v1\MO_959704_ccrop_mask.png,,True,0.04014134503991171,0.6912828999009615,0.6511415548610497,66.03786792439622,22281,terpisah_di_nol,0.0,False,0.40546666666666664,1.0,tak_pernah_pecah,0.0,terpisah_di_nol
27,0.8803564060633974,2.3863800924684084,pbcseg_final_v1\LY_98404_ccrop_mask.png,pbcseg_final_v1\LY_735620_ccrop_mask.png,,True,0.4642148703033914,0.8304014060826848,0.36618653577929333,52.172789842982326,17515,terpisah_di_nol,0.0,True,1.0,1.0,tak_pernah_pecah,1.0,tak_pernah_pecah
