t,n_dibuang,n_A,n_B,auc,acc_13,spes_band,posisi_C,terpilih
0.08235666934549585,25,1547,966,0.9700211188154192,0.9347393553521687,0.8861283643892339,0.3264923806606372,True
0.1,24,1548,966,0.9700391475543144,0.9347653142402546,0.8861283643892339,0.3265148597244878,False
0.15,22,1548,967,0.970070130855706,0.9347912524850894,0.8862461220268872,0.32548603556770095,False
0.2,19,1548,968,0.9701010501420121,0.9348171701112877,0.8863636363636364,0.32467662768672767,False
0.25,18,1549,968,0.9701070138559135,0.9348430671434247,0.8863636363636364,0.3246541548320954,False
0.3,18,1549,968,0.9701070138559135,0.9348430671434247,0.8863636363636364,0.3246541548320954,False
0.35,18,1549,968,0.9701070138559135,0.9348430671434247,0.8863636363636364,0.3246541548320954,False
0.4,18,1549,968,0.9701070138559135,0.9348430671434247,0.8863636363636364,0.3246541548320954,False
0.45,17,1550,968,0.9695001332977873,0.9344718030182685,0.8863636363636364,0.32454546789185507,False
0.5,17,1550,968,0.9695001332977873,0.9344718030182685,0.8863636363636364,0.32454546789185507,False
0.55,16,1550,969,0.9695312760078565,0.9344978165938864,0.8864809081527347,0.3242657965459581,False
0.6,16,1550,969,0.9695312760078565,0.9344978165938864,0.8864809081527347,0.3242657965459581,False
